TAMANHO_REGISTRO:136|LIVRE:-1
DELIM_CAMPO:|                                                                                                                           
name|episodes|votes|weight|rate|genres                                                                                                  
Naruto Shippuuden|500|48518|233346|4.81|                                                                                                
Shugo Chara|51|33688|163641|4.86|                                                                                                       
BLEACH|366|23900|115445|4.83|                                                                                                           
Naruto|220|16613|79667|4.8|                                                                                                             
Skip Beat!|0|15011|73683|4.91|Comedy, Drama, Romance                                                                                    
REBORN!|0|12542|61262|4.88|                                                                                                             
Gintama|379|11435|55745|4.87|                                                                                                           
La Corda d'Oro ~primo passo~ and ~secondo passo~|0|9555|46479|4.86|Harem, Music, Romance                                                
Eyeshield 21|0|8466|41028|4.85|Action, Comedy, Sports                                                                                   
Hayate the Combat Butler! (S1 e S2)|77|5689|27576|4.85|                                                                                 
Natsume Yuujinchou|39|5158|25208|4.89|Drama, Fantasy, Slice Of Life                                                                     
Myself; Yourself|0|4588|22000|4.8|Drama, Romance, Slice Of Life                                                                         
Blue Exorcist|12|4498|21661|4.82|                                                                                                       
Durarara!!|62|4042|19606|4.85|                                                                                                          
Time of Eve|6|3864|18819|4.87|                                                                                                          
Tegami Bachi Letter Bee|0|3593|17363|4.83|Drama, Slice Of Life, Supernatural                                                            
School Days|0|3484|14390|4.13|Drama, Harem, Romance                                                                                     
Sword Art Online|89|3458|15226|4.4|Fantasy                                                                                              
The World God Only Knows|36|3443|16430|4.77|Comedy, Harem, Romance                                                                      
Demon King Daimao|0|3420|16148|4.72|Action, Comedy, Fantasy, Harem, Romance                                                             
Neo Angelique Abyss|0|3258|15470|4.75|Comedy, Fantasy, Romance                                                                          
Happiness!|0|3069|14529|4.73|Fantasy, Harem, Romance                                                                                    
Linebarrels of Iron|0|3026|13850|4.58|                                                                                                  
Beelzebub|0|2928|14027|4.79|Action, Comedy, Supernatural                                                                                
Nogizaka Haruka no Himitsu|0|2504|12133|4.85|Comedy, Romance, Slice Of Life                                                             
Chi's Sweet Home - Chi's New Address|0|2467|11947|4.84|Slice Of Life                                                                    
Hanasakeru Seishonen|0|2461|11829|4.81|Drama, Romance                                                                                   
Saki|38|2367|11134|4.7|Slice Of Life, Sports                                                                                            
Slam Dunk|0|2351|11039|4.7|Comedy, Slice Of Life, Sports                                                                                
The Tower of DRUAGA -the Aegis of URUK-|0|2247|10678|4.75|Adventure, Comedy, Fantasy                                                    
Hunter x Hunter|148|2244|10873|4.85|                                                                                                    
11eyes|0|2137|9790|4.58|Harem, Seinen                                                                                                   
Attack on Titan|60|2014|9533|4.73|Action, Adventure, Drama, Fantasy, Post-Apocalyptic, Thriller                                         
Koihime Musou|0|1979|9406|4.75|Action, Adventure                                                                                        
Black Clover|127|1941|7446|3.84|Action, Adventure, Comedy, Fantasy, Shonen                                                              
H2O: Footprints in the Sand|0|1889|9017|4.77|Drama, Romance, Slice Of Life                                                              
BLASSREITER|0|1869|8661|4.63|Action, Drama, Mecha, Sci-Fi                                                                               
Another|12|1859|8750|4.71|Mystery                                                                                                       
Glass Mask|0|1709|8271|4.84|Romance                                                                                                     
The Tower of DRUAGA -the Sword of URUK-|0|1645|7750|4.71|Adventure, Comedy, Fantasy                                                     
5 Centímetros por Segundo|0|1518|7346|4.84|Drama, Romance                                                                               
Dragon Crisis|0|1514|7126|4.71|Action, Fantasy, Harem                                                                                   
Inu X Boku Secret Service|12|1473|6991|4.75|                                                                                            
The Rising of the Shield Hero|25|1409|6647|4.72|Action, Adventure, Drama, Fantasy, Isekai, Seinen                                       
Asura Cryin'|0|1406|6652|4.73|Action, Fantasy, Harem, Mecha                                                                             
Usagi Drop|0|1402|6850|4.89|Comedy, Drama, Slice Of Life                                                                                
07 Ghost|0|1400|6688|4.78|Fantasy                                                                                                       
No. 6|0|1374|6437|4.68|Action, Adventure                                                                                                
SKET Dance|77|1364|6513|4.77|Comedy, Shonen, Slice Of Life                                                                              
Otome Yokai Zakuro|0|1326|6331|4.77|Action, Historical, Romance                                                                         
Lilpri|0|1323|6342|4.79|Comedy, Fantasy, Music                                                                                          
Squid Girl|26|1319|6223|4.72|Comedy, Supernatural                                                                                       
Yokuwakaru Gendai Maho|0|1288|5906|4.59|Magical Girls                                                                                   
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi|0|1282|6001|4.68|Harem, Seinen                                                  
Occult Academy|0|1273|5833|4.58|Adventure, Supernatural                                                                                 
Kaasan Mom's Life|0|1201|5634|4.69|Comedy, Slice Of Life                                                                                
Re:ZERO -Starting Life in Another World-|63|1164|5302|4.55|Action, Adventure, Comedy, Drama, Fantasy, Isekai, Romance                   
One Piece|1135|1142|5364|4.7|Action, Adventure, Fantasy, Shonen                                                                         
A Dark Rabbit has Seven Lives|0|1130|5224|4.62|                                                                                         
Kono Aozora ni Yakusoku wo|0|1119|5143|4.6|Drama, Harem                                                                                 
Fate/Zero|25|1097|5254|4.79|                                                                                                            
JoJo's Bizarre Adventure|158|1074|5232|4.87|                                                                                            
Chihayafuru|74|1054|5090|4.83|                                                                                                          
My Hero Academia|86|1025|4922|4.8|Action, Fantasy, Shonen                                                                               
Your lie in April|22|1014|4914|4.85|Drama, Music, Romance, Shonen                                                                       
Fairy Musketeers|0|1001|4772|4.77|Fantasy, Magical Girls                                                                                
Air Master|0|973|4382|4.5|Seinen                                                                                                        
Nogizaka Haruka no Himitsu - Purezza -|0|966|4596|4.76|Comedy, Romance, Slice Of Life                                                   
Hyakko|0|956|4491|4.7|Comedy                                                                                                            
Is It Wrong to Try to Pick Up Girls in a Dungeon?|26|947|4374|4.62|Adventure, Comedy, Fantasy, Harem, Romance                           
DARLING in the FRANXX|50|946|4108|4.34|Action, Drama, Mecha, Romance, Sci-Fi                                                            
Listen to Me, Girls, I’m Your Father!|12|937|4386|4.68|Harem                                                                            
BORUTO: NARUTO NEXT GENERATIONS|148|893|2865|3.21|Action, Adventure, Fantasy, Shonen                                                    
Brave 10|12|892|4141|4.64|Historical                                                                                                    
HEROMAN|0|891|4053|4.55|Mecha                                                                                                           
Food Wars! Shokugeki no Soma|74|884|4214|4.77|Action, Comedy, Shonen                                                                    
Miracle Train|0|873|4014|4.6|Romance                                                                                                    
Kanamemo|0|855|3970|4.64|Comedy, Slice Of Life                                                                                          
Ristorante Paradiso|0|846|3909|4.62|Drama, Romance, Slice Of Life                                                                       
Black Jack|0|842|3969|4.71|Adventure, Drama                                                                                             
Hanamaru Kindergarten|0|826|3934|4.76|Adventure, Comedy, Slice Of Life                                                                  
Demon Slayer: Kimetsu no Yaiba|26|820|3996|4.87|Action, Drama, Supernatural                                                             
GOBLIN SLAYER|13|818|3665|4.48|Action, Adventure, Fantasy                                                                               
Sound of the Sky|0|817|3872|4.74|Adventure, Drama, Music, Post-Apocalyptic, Slice Of Life                                               
Shin Koihime Musou|0|815|3882|4.76|Action                                                                                               
ERASED|13|797|3871|4.86|Drama, Mystery, Thriller                                                                                        
Saint Seiya The Lost Canvas|0|796|3774|4.74|Action, Adventure, Fantasy                                                                  
Oreimo|13|795|3512|4.42|Drama, Romance, Slice Of Life                                                                                   
Puella Magi Madoka Magica|0|791|3813|4.82|Drama, Fantasy, Magical Girls, Thriller                                                       
Bodacious Space Pirates|26|791|3687|4.66|Comedy                                                                                         
YuruYuri|36|789|3662|4.64|Comedy, Slice Of Life                                                                                         
No Game No Life|12|788|3705|4.7|Adventure, Comedy, Fantasy, Isekai, Sci-Fi                                                              
Pretty Cure|0|777|3546|4.56|Magical Girls                                                                                               
Akame ga Kill!|24|767|3276|4.27|Action, Adventure, Drama, Fantasy                                                                       
RWBY|102|761|3070|4.03|                                                                                                                 
Gankutsuou|0|741|3516|4.74|                                                                                                             
Mysterious Girlfriend X|13|733|3437|4.69|Comedy, Romance                                                                                
That Time I Got Reincarnated as a Slime|27|731|3400|4.65|Action, Adventure, Fantasy, Isekai, Slice Of Life                              
Sweet Blue Flowers|0|730|3415|4.68|Drama, Romance, Slice Of Life                                                                        
We, Without Wings - under the innocent sky|0|730|3295|4.51|Harem, Romance                                                               
Kiseijuu|24|717|3407|4.75|Action, Drama, Sci-Fi, Seinen, Thriller                                                                       
Kamisama Dolls|0|705|3230|4.58|Action, Drama, Seinen, Supernatural                                                                      
NATSU NO ARASHI !|0|690|3076|4.46|Comedy, Romance, Supernatural                                                                         
Toradora!|25|689|3321|4.82|Comedy, Drama, Romance, Slice Of Life                                                                        
Ano Natsu de Matteru|0|685|3211|4.69|Drama, Romance, Slice Of Life                                                                      
KILL la KILL|24|682|3139|4.6|Action, Adventure, Comedy, Drama, Mecha, Post-Apocalyptic, Sci-Fi, Shonen                                  
The Ancient Magus' Bride|54|681|3259|4.79|Adventure, Drama, Fantasy, Romance, Slice Of Life, Supernatural                               
Mushi-Uta|0|679|3213|4.73|Action, Fantasy, Supernatural                                                                                 
Fairy Tail|153|674|2939|4.36|                                                                                                           
Yuri!!! on ICE|12|673|3250|4.83|Drama, Sports                                                                                           
Hourou Musuko Wandering Son|0|668|3176|4.75|Drama, Romance, Slice Of Life                                                               
Kuroko's Basketball|82|665|3207|4.82|Sports                                                                                             
Battle Girls - Time Paradox|0|649|2969|4.57|Historical                                                                                  
Fist of the North Star|0|637|2974|4.67|Post-Apocalyptic                                                                                 
Level E|0|623|2888|4.64|                                                                                                                
RH Plus|0|623|2886|4.63|Action, Horror, Jdrama                                                                                          
Say "I love you."|13|583|2666|4.57|Drama, Romance, Shojo, Slice Of Life                                                                 
Log Horizon|50|576|2619|4.55|Action, Adventure, Drama, Fantasy, Sci-Fi                                                                  
Working!|14|556|2656|4.78|Comedy, Slice Of Life                                                                                         
Overlord|39|548|2533|4.62|Action, Adventure, Fantasy, Isekai, Supernatural                                                              
Rio Rainbow Gate|0|541|2408|4.45|                                                                                                       
Nisemonogatari|0|540|2523|4.67|Action, Comedy, Drama, Fantasy, Harem, Mystery, Seinen, Supernatural                                     
HAIKYU!!|75|530|2625|4.95|Shonen, Slice Of Life, Sports                                                                                 
My Little Monster|13|524|2372|4.53|Comedy, Romance, Shojo                                                                               
Angel Beats|13|521|2441|4.69|Action, Comedy, Drama, Fantasy, Romance                                                                    
KONOSUBA -God's blessing on this wonderful world!|44|519|2414|4.65|Adventure, Comedy, Fantasy, Isekai, Supernatural                     
Golden Time|24|519|2391|4.61|Comedy, Drama, Romance, Slice Of Life                                                                      
Diabolik Lovers|0|517|1544|2.99|Drama, Harem, Romance, Supernatural                                                                     
Dr. STONE|25|516|2401|4.65|Action, Adventure, Comedy, Drama, Post-Apocalyptic, Sci-Fi, Shonen                                           
Seitokai No Ichizon - Student Councils Discretion|0|514|2442|4.75|Comedy, Harem, Slice Of Life                                          
Horizon in the Middle of Nowhere|0|505|2241|4.44|                                                                                       
Berserk|26|505|1775|3.51|Action, Fantasy, Seinen, Supernatural                                                                          
The Place Promised In Our Early Days|0|503|2433|4.84|Drama, Romance, Sci-Fi                                                             
Mob Psycho 100|54|501|2413|4.82|Action, Comedy, Fantasy, Supernatural                                                                   
In Another World With My Smartphone|24|500|1729|3.46|Action, Adventure                                                                  
Shin Koihime Musou - Otome Tairan|0|493|2352|4.77|Action                                                                                
Un-Go|0|491|2289|4.66|Mystery, Sci-Fi                                                                                                   
Yona of the Dawn|24|486|2327|4.79|Adventure, Fantasy, Romance, Shojo, Supernatural                                                      
GATE|24|479|2076|4.33|Action, Adventure, Fantasy, Seinen                                                                                
Dragon Ball Super|131|479|2029|4.24|Action, Fantasy, Sci-Fi, Shonen                                                                     
Anohana: The Flower We Saw That Day|11|477|2299|4.82|Drama, Romance, Slice Of Life, Supernatural                                        
Rascal Does Not Dream of Bunny Girl Senpai|13|476|2321|4.88|Comedy, Romance, Slice Of Life, Supernatural                                
Free! Iwatobi Swim Club|49|474|2201|4.64|Drama, Sports                                                                                  
Voices of a Distant Star|0|471|2211|4.69|Drama, Mecha, Post-Apocalyptic, Romance, Sci-Fi                                                
ReLIFE|17|467|2266|4.85|Drama, Romance, Seinen, Slice Of Life                                                                           
Kids on the Slope|0|466|2276|4.88|                                                                                                      
Sailor Moon Crystal|39|457|2034|4.45|Action, Magical Girls, Romance, Shojo                                                              
Familiar of Zero F|0|448|2063|4.6|Adventure, Comedy, Drama, Fantasy, Harem, Isekai, Romance                                             
Isekai Cheat Magician|12|446|952|2.13|Adventure, Fantasy, Isekai                                                                        
The Irregular at Magic High School|26|441|1842|4.18|Action, Fantasy, Sci-Fi, Supernatural                                               
Mashiroiro Symphony|0|439|2049|4.67|Drama, Harem, Romance                                                                               
THE PROMISED NEVERLAND|12|433|2124|4.91|Action, Drama, Fantasy, Mystery, Post-Apocalyptic, Sci-Fi, Shonen, Thriller                     
Miss Kobayashi's Dragon Maid|28|428|2022|4.72|Comedy, Fantasy, Romance, Slice Of Life                                                   
Hiiro no Kakera|0|426|1786|4.19|Fantasy, Romance                                                                                        
You and Me|13|420|1950|4.64|Slice Of Life                                                                                               
Rokka no Yuusha|24|417|1632|3.91|Action, Adventure, Fantasy, Mystery, Thriller                                                          
The Prince of Tennis II|20|414|1952|4.71|Sports                                                                                         
Saga of Tanya the Evil|27|404|1830|4.53|Action, Adventure, Fantasy, Historical                                                          
Aldnoah.Zero|25|395|1584|4.01|Action, Drama, Mecha, Sci-Fi                                                                              
Recorder and Randsell|39|392|1691|4.31|Comedy, Slice Of Life                                                                            
My Love Story!!|24|388|1892|4.88|Comedy, Drama, Romance, Slice Of Life                                                                  
Natsume Yuujinchou 4|13|385|1891|4.91|Drama, Fantasy, Slice Of Life                                                                     
Dusk Maiden of Amnesia|0|378|1772|4.69|Mystery, Romance, Supernatural                                                                   
Charlotte|13|378|1706|4.51|Comedy, Drama, Romance                                                                                       
Star Driver|0|373|1718|4.61|Action                                                                                                      
How Not to Summon a Demon Lord|12|371|1499|4.04|Action, Fantasy, Harem, Romance                                                         
NARUTO Spin-Off: Rock Lee & His Ninja Pals|51|369|1513|4.1|                                                                             
Plastic Memories|13|364|1684|4.63|Drama, Romance, Sci-Fi                                                                                
Nyarko-san: Another Crawling Chaos|45|364|1628|4.47|Comedy, Romance                                                                     
Galaxy Express 999|0|363|1705|4.7|                                                                                                      
The Pet Girl of Sakurasou|0|359|1718|4.79|Comedy, Drama, Romance, Seinen                                                                
Death March to the Parallel World Rhapsody|24|358|1350|3.77|Adventure, Fantasy, Harem, Isekai, Romance, Slice Of Life                   
Demonbane|0|350|1576|4.5|Mecha                                                                                                          
Mizu no Kotoba|0|349|1637|4.69|Drama                                                                                                    
White Album|0|348|1496|4.3|Drama, Harem, Music, Romance, Seinen                                                                         
The Idol Master|0|342|1591|4.65|Music                                                                                                   
Space Brothers|99|340|1638|4.82|Drama, Sci-Fi, Slice Of Life                                                                            
From The New World|25|339|1579|4.66|Drama, Post-Apocalyptic, Sci-Fi, Supernatural, Thriller                                             
Gurren Lagann|0|326|1582|4.85|Action, Comedy, Mecha, Post-Apocalyptic, Sci-Fi                                                           
Fullmetal Alchemist: Brotherhood|64|319|1572|4.93|Action, Adventure, Drama, Fantasy, Shonen, Thriller                                   
citrus|12|319|1354|4.24|Drama, Romance                                                                                                  
Black Bullet|13|319|1310|4.11|Action, Mystery, Post-Apocalyptic, Sci-Fi                                                                 
Gargantia on the Verdurous Planet|17|317|1450|4.57|Action, Adventure, Drama, Fantasy, Mecha, Sci-Fi                                     
Twin Star Exorcists|50|317|1229|3.88|Action, Adventure, Fantasy, Romance, Shonen, Supernatural                                          
Moritasan wa Mukuchi|0|314|1415|4.51|Comedy, Seinen                                                                                     
The Asterisk War|24|312|1135|3.64|Action, Adventure, Fantasy, Harem, Sci-Fi                                                             
Recovery of a MMO Junkie|23|308|1453|4.72|Drama, Romance, Seinen, Slice Of Life                                                         
Tsuritama|12|302|1432|4.74|Comedy, Slice Of Life                                                                                        
Web Ghosts PiPoPa|0|301|1383|4.59|Action, Adventure, Comedy, Fantasy, Supernatural                                                      
My Teen Romantic Comedy SNAFU|0|300|1394|4.65|Comedy, Drama, Romance, Slice Of Life                                                     
Fate/stay night [Unlimited Blade Works]|26|300|1354|4.51|Action, Drama, Fantasy, Supernatural                                           
Magi|25|298|1397|4.69|Action, Adventure, Fantasy, Shonen                                                                                
Classroom of the Elite|12|297|1327|4.47|Drama, Seinen, Slice Of Life, Thriller                                                          
TERRAFORMARS|39|296|980|3.31|Action, Sci-Fi, Seinen, Thriller                                                                           
Nisekoi|33|293|1253|4.28|Comedy, Romance, Shonen, Slice Of Life                                                                         
Cat God|0|292|1286|4.4|Comedy, Fantasy, Seinen, Supernatural                                                                            
Poyopoyo|52|291|1385|4.76|Comedy, Slice Of Life                                                                                         
MONSTER MUSUME EVERYDAY LIFE WITH MONSTER GIRLS|12|289|1268|4.39|Comedy, Fantasy, Harem                                                 
Ramen Fighter Miki|0|277|1273|4.6|Action, Comedy                                                                                        
