NAME|POSICAO|TAMANHO
Naruto Shippuuden|0|41
Shugo Chara|41|34
BLEACH|75|30
Naruto|105|28
Skip Beat!|133|53
REBORN!|186|28
Gintama|214|30
La Corda d'Oro ~primo passo~ and ~secondo passo~|244|89
Eyeshield 21|333|54
Hayate the Combat Butler! (S1 e S2)|387|56
Natsume Yuujinchou|443|68
Myself; Yourself|511|64
Blue Exorcist|575|34
Durarara!!|609|31
Time of Eve|640|31
Tegami Bachi Letter Bee|671|77
School Days|748|52
Sword Art Online|800|43
The World God Only Knows|843|67
Demon King Daimao|910|76
Neo Angelique Abyss|986|63
Happiness!|1049|53
Linebarrels of Iron|1102|39
Beelzebub|1141|57
Nogizaka Haruka no Himitsu|1198|76
Chi's Sweet Home - Chi's New Address|1274|69
Hanasakeru Seishonen|1343|54
Saki|1397|45
Slam Dunk|1442|57
The Tower of DRUAGA -the Aegis of URUK-|1499|85
Hunter x Hunter|1584|37
11eyes|1621|38
Attack on Titan|1659|96
Koihime Musou|1755|49
Black Clover|1804|75
H2O: Footprints in the Sand|1879|75
BLASSREITER|1954|58
Another|2012|34
Glass Mask|2046|36
The Tower of DRUAGA -the Sword of URUK-|2082|84
5 Centímetros por Segundo|2166|59
Dragon Crisis|2225|54
Inu X Boku Secret Service|2279|45
The Rising of the Shield Hero|2324|98
Asura Cryin'|2422|60
Usagi Drop|2482|57
07 Ghost|2539|34
No. 6|2573|41
SKET Dance|2614|59
Otome Yokai Zakuro|2673|64
Lilpri|2737|47
Squid Girl|2784|50
Yokuwakaru Gendai Maho|2834|54
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi|2888|87
Occult Academy|2975|56
Kaasan Mom's Life|3031|57
Re:ZERO -Starting Life in Another World-|3088|118
One Piece|3206|64
A Dark Rabbit has Seven Lives|3270|48
Kono Aozora ni Yakusoku wo|3318|56
Fate/Zero|3374|29
JoJo's Bizarre Adventure|3403|45
Chihayafuru|3448|31
My Hero Academia|3479|58
Your lie in April|3537|66
Fairy Musketeers|3603|57
Air Master|3660|33
Nogizaka Haruka no Himitsu - Purezza -|3693|86
Hyakko|3779|29
Is It Wrong to Try to Pick Up Girls in a Dungeon?|3808|110
DARLING in the FRANXX|3918|77
Listen to Me, Girls, I’m Your Father!|3995|63
BORUTO: NARUTO NEXT GENERATIONS|4058|85
Brave 10|4143|37
HEROMAN|4180|30
Food Wars! Shokugeki no Soma|4210|69
Miracle Train|4279|37
Kanamemo|4316|47
Ristorante Paradiso|4363|66
Black Jack|4429|44
Hanamaru Kindergarten|4473|71
Demon Slayer: Kimetsu no Yaiba|4544|76
GOBLIN SLAYER|4620|58
Sound of the Sky|4678|90
Shin Koihime Musou|4768|42
ERASED|4810|49
Saint Seiya The Lost Canvas|4859|71
Oreimo|4930|54
Puella Magi Madoka Magica|4984|82
Bodacious Space Pirates|5066|48
YuruYuri|5114|48
No Game No Life|5162|75
Pretty Cure|5237|42
Akame ga Kill!|5279|66
RWBY|5345|24
Gankutsuou|5369|28
Mysterious Girlfriend X|5397|57
That Time I Got Reincarnated as a Slime|5454|107
Sweet Blue Flowers|5561|65
We, Without Wings - under the innocent sky|5626|74
Kiseijuu|5700|66
Kamisama Dolls|5766|67
NATSU NO ARASHI !|5833|64
Toradora!|5897|65
Ano Natsu de Matteru|5962|67
KILL la KILL|6029|103
The Ancient Magus' Bride|6132|106
Mushi-Uta|6238|56
Fairy Tail|6294|30
Yuri!!! on ICE|6324|46
Hourou Musuko Wandering Son|6370|74
Kuroko's Basketball|6444|44
Battle Girls - Time Paradox|6488|55
Fist of the North Star|6543|56
Level E|6599|25
RH Plus|6624|47
Say "I love you."|6671|72
Log Horizon|6743|71
Working!|6814|48
Overlord|6862|75
Rio Rainbow Gate|6937|34
Nisemonogatari|6971|100
HAIKYU!!|7071|56
My Little Monster|7127|58
Angel Beats|7185|69
KONOSUBA -God's blessing on this wonderful world!|7254|116
Golden Time|7370|67
Diabolik Lovers|7437|68
Dr. STONE|7505|94
Seitokai No Ichizon - Student Councils Discretion|7599|95
Horizon in the Middle of Nowhere|7694|50
Berserk|7744|63
The Place Promised In Our Early Days|7807|76
Mob Psycho 100|7883|70
In Another World With My Smartphone|7953|71
Shin Koihime Musou - Otome Tairan|8024|57
Un-Go|8081|38
Yona of the Dawn|8119|83
GATE|8202|57
Dragon Ball Super|8259|68
Anohana: The Flower We Saw That Day|8327|97
Rascal Does Not Dream of Bunny Girl Senpai|8424|105
Free! Iwatobi Swim Club|8529|55
